id;assignment;userid;timecreated;timemodified;grader;grade;attemptnumber
81;6;1269;1570727703;1573896730;1404;10.0;0
21;6;1350;1570366808;1573896822;1404;15.0;0
54;6;1334;1570463103;1573896865;1404;10.0;0
34;6;106;1570420803;1573897200;1404;16.0;0
88;6;430;1570795211;1573897296;1404;14.0;0
73;6;1309;1570716003;1573897570;1404;14.0;0
64;6;1198;1570548603;1573898297;1404;14.0;0
29;6;928;1570379403;1573898589;1404;16.0;0
82;7;1269;1570734903;1573899325;1404;12.0;0
22;7;1350;1570366812;1573899340;1404;15.0;0
55;7;1334;1570463105;1573899352;1404;15.0;0
74;7;1309;1570716903;1573900115;1404;15.0;0
65;7;1198;1570550402;1573900622;1404;15.0;0
30;7;928;1570379406;1573901011;1404;15.0;0
23;8;1350;1570366816;1573901766;1404;9.0;0
75;8;1309;1570716908;1573902218;1404;6.0;0
31;8;928;1570379408;1573902661;1404;9.0;0
24;9;1350;1570366820;1573906247;1404;13.0;0
76;9;1309;1570716913;1573906724;1404;15.0;0
32;9;928;1570379410;1573907662;1404;15.0;0
25;10;1350;1570366825;1573908711;1404;13.0;0
77;10;1309;1570716917;1573909422;1404;19.0;0
33;10;928;1570388403;1573910413;1404;20.0;0
26;11;1350;1570367703;1573910911;1404;14.0;0
78;11;1309;1570716922;1573911259;1404;14.0;0
1004;14;1321;1572787803;1575288419;1400;15.0;0
1003;13;1321;1572781502;1575292478;1400;12.0;0
2038;36;1235;1580635803;1582038382;1400;15.0;0
2040;33;1235;1580640302;1582031849;1400;6.0;0
156;4;176;1570972505;1573891223;1404;6.0;0
154;4;1018;1570970702;1572513778;1404;6.0;0
109;6;1330;1570869910;1572519580;1404;16.0;0
108;5;1330;1570869907;1572516455;1404;5.0;0
167;5;314;1570981503;1572516606;1404;2.0;0
170;5;356;1571045403;1572516752;1404;5.0;0
100;5;955;1570815902;1572516811;1404;5.0;0
107;4;1330;1570869903;1572517359;1404;6.0;0
169;6;314;1570992302;1572519920;1404;12.0;0
172;6;356;1571045408;1572520361;1404;16.0;0
101;6;955;1570817702;1572520474;1404;14.0;0
110;7;1330;1570869914;1572528229;1404;15.0;0
102;7;955;1570821302;1572528637;1404;15.0;0
173;8;356;1571046302;1572530957;1404;9.0;0
111;8;1330;1570869918;1572530665;1404;9.0;0
135;8;436;1570881608;1572530700;1404;9.0;0
103;8;955;1570822203;1572531075;1404;9.0;0
112;9;1330;1570869922;1572532697;1404;15.0;0
136;9;436;1570881609;1572532900;1404;15.0;0
174;9;356;1571046305;1572533286;1404;15.0;0
104;9;955;1570823102;1572533382;1404;13.0;0
116;10;1330;1570869946;1572535212;1404;20.0;0
175;10;356;1571046307;1572535636;1404;18.0;0
105;10;955;1570824002;1572535742;1404;18.0;0
119;11;1330;1570869960;1572536913;1404;10.0;0
138;11;436;1570882505;1572536937;1404;14.0;0
176;11;356;1571046308;1572537109;1404;14.0;0
106;11;955;1570824004;1572537143;1404;12.0;0
139;4;1014;1570884302;1573891974;1404;6.0;0
113;4;1167;1570869926;1573892102;1404;4.0;0
151;5;1235;1570965302;1573893204;1404;5.0;0
157;5;176;1570972508;1573893463;1404;5.0;0
140;5;1014;1570888803;1573894020;1404;5.0;0
152;6;1235;1570967102;1573896455;1404;10.0;0
164;6;176;1570974317;1573897071;1404;16.0;0
141;6;1014;1570892402;1573897778;1404;14.0;0
115;6;1167;1570869937;1573898067;1404;14.0;0
94;7;849;1570811403;1573899022;1404;15.0;0
153;7;1235;1570968003;1573899195;1404;12.0;0
160;7;176;1570973411;1573899757;1404;15.0;0
89;7;430;1570795214;1573899895;1404;15.0;0
142;7;1014;1570896002;1573900360;1404;12.0;0
117;7;1167;1570869950;1573900502;1404;15.0;0
95;8;849;1570812302;1573901462;1404;2.0;0
166;8;1235;1570976102;1573901608;1404;3.0;0
126;8;1269;1570878010;1573901741;1404;9.0;0
118;8;1167;1570869955;1573902424;1404;6.0;0
96;9;849;1570812305;1573905847;1404;15.0;0
155;9;1235;1570972503;1573906053;1404;11.0;0
127;9;1269;1570879802;1573906180;1404;15.0;0
161;9;176;1570974303;1573906351;1404;15.0;0
91;9;430;1570795221;1573906471;1404;15.0;0
120;9;1167;1570869964;1573907151;1404;13.0;0
97;10;849;1570813203;1573908186;1404;13.0;0
158;10;1235;1570973402;1573908399;1404;12.0;0
132;10;1269;1570880719;1573908621;1404;18.0;0
163;10;176;1570974312;1573908873;1404;20.0;0
92;10;430;1570795225;1573909112;1404;12.0;0
121;10;1167;1570869975;1573909897;1404;15.0;0
98;11;849;1570814103;1573910653;1404;6.0;0
162;11;1235;1570974310;1573910753;1404;14.0;0
137;11;1269;1570882503;1573910900;1404;10.0;0
159;11;176;1570973405;1573911037;1404;14.0;0
93;11;430;1570795228;1573911139;1404;8.0;0
122;11;1167;1570869981;1573911490;1404;10.0;0
123;11;928;1570877107;1573911801;1404;14.0;0
1005;13;966;1572813003;1574872399;1400;9.0;0
1006;14;966;1572813007;1574875305;1400;13.0;0
128;15;928;1570880702;1575287730;1400;10.0;0
134;20;928;1570881603;1575305069;1400;8.0;0
125;14;928;1570878006;1575306340;1400;15.0;0
124;13;928;1570878002;1575388797;1400;16.0;0
129;16;928;1570880707;1575389536;1400;10.0;0
130;17;928;1570880711;1575390629;1400;10.0;0
131;18;928;1570880715;1575392178;1400;15.0;0
133;19;928;1570880721;1575394280;1400;16.0;0
143;22;928;1570959902;1580229432;1400;25.0;0
145;24;928;1570960808;1580230379;1400;10.0;0
